2023-07-06  20:30:01,北京,我大概是全网最后一个发理想城市NOA体验视频的博主了吧  重在参与。大家试过都说好，那我就只能挑刺儿了，跟我车的@贝夫司机 显得有些紧张#大v聊车# http://t.cn/A6pFYIdL  http://t.cn/A60Z9cUx ,1372,742,477
2023-07-03  20:30:00,北京,开着我心爱的#宝骏悦也# ，拍我已经三年没拍的“城会玩” ，后期老师说：玩得很好，下次别去了  。本期节目我精心为大家做了一个赶海攻略，并且大（tu）获（lao）全（wu）胜（gong），是朋友能不看？#我与汽车的日常# http://t.cn/A6pgptqd  http://t.cn/A6ps1uiD ,2154,1213,698
2023-07-14  17:55:04,北京,多少年了还是西瓜配馕，熟悉的配方，有时候还有哈密瓜[哈哈][哈哈],3,23,72
2023-07-14  14:40:12,北京,#公摊面积为何不能取消# 我实在很难接受大公摊这件事，于是这次买房子选择也是10年前盖好的楼，以前有各种赠送，滩出去的都能送回来。而现在的深圳新房80％算卖点，70％多算正常，甚至有更低的。1000多万花出去，娃睡飘窗的人家一大把[生病] ,1,117,256
2023-07-14  13:57:16,北京,阿维塔12来了，今天工信部的公告图，5米车长3米轴距中大型轿车。这个样子，这个姿态怎么样？有啥意见现在提还来得及[哈哈][哈哈][求饶] #汽场全开# ,2,35,39
2023-07-13  19:25:45, ,#为什么大家不愿意去泰国旅游了#泰国上半年外国入境游客数据出炉，中国游客数量超140万人次，数量小于预期。在今年1月，泰国副总理兼卫生部长阿努廷就乐观地表示，今年估计会有700万到1000万中国游客到访泰国。 你觉得为什么大家不愿意去泰国旅游了？ http://t.cn/A602U6Lo ,1099,5984,437703
2023-07-13  23:21:43,北京,#为什么大家不愿意去泰国旅游了# 看到这个话题太有感触了，以前我很喜欢去泰国玩，清迈、象岛啥的又便宜又轻松又近。但也就近一年吧，各种负面新闻确实有影响到，再加上消失的她。。。这下彻底断了去泰国的念头，大概以后都不想去了[笑cry][笑cry][笑cry]，你们呢？ ,6,121,303
2023-07-13  23:15:45,北京,你媳妇有没有告诉你，减肥主要是饮食，锻炼是最后一步 ,1,24,49
2023-07-13  18:36:09,北京,来了，准备了很久的活。是广，但也是用了很久觉得舒服才做分享，现在国货产 品真的越来越好了。  董事长这三个月忙到起飞，创业期间每天能分给睡觉的时间少之又少，这时咱讲究的是效率，睡一分钟是一分钟，睡眠质量很重要。  首先先说个被打脸的事。这个枕头我媳妇之前看其他大V推荐过，当时我还觉得风 ,2,67,134
2023-07-13  18:50:04,北京,#人际关系中最伤人的五个字# 我投：借我一点钱   ,3,45,154
